epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,146.82,2.30698,1.40014,1.13909,0.42479,0.66468,0.49071,0.16009,2.42687,1.46609,1.14825,0.00808389,0.00808389,0.00808389
31,151.384,2.30959,1.34016,1.12789,0.70805,0.69841,0.66697,0.21522,2.24297,1.43826,1.15234,0.00795954,0.00795954,0.00795954
32,156.791,2.22447,1.36937,1.14657,0.59655,0.80754,0.68068,0.21373,2.29223,1.48148,1.12849,0.00783231,0.00783231,0.00783231
33,161.793,2.10962,1.34587,1.1121,0.62117,0.65079,0.62585,0.21442,2.19102,1.50083,1.08991,0.00770234,0.00770234,0.00770234
34,166.482,2.18329,1.27927,1.10774,0.43007,0.48413,0.43013,0.14435,2.59072,1.4835,1.15832,0.00756976,0.00756976,0.00756976
35,171.328,2.291,1.3876,1.10006,0.40268,0.57015,0.48731,0.1434,2.50148,1.43302,1.14657,0.00743468,0.00743468,0.00743468
36,175.892,2.22228,1.29659,1.15184,0.65771,0.57937,0.62356,0.18147,2.37174,1.41411,1.1418,0.00729725,0.00729725,0.00729725
37,180.603,2.17361,1.31553,1.08434,0.5443,0.60723,0.50152,0.16647,2.3322,1.52073,1.14063,0.00715761,0.00715761,0.00715761
38,185.43,2.145,1.25611,1.1152,0.5512,0.6746,0.56013,0.17682,2.25256,1.41556,1.14424,0.00701588,0.00701588,0.00701588
39,190.108,2.11656,1.26164,1.12534,0.5787,0.61336,0.59413,0.19162,2.28645,1.6005,1.15455,0.00687222,0.00687222,0.00687222
40,194.754,2.21532,1.23768,1.10261,0.4862,0.73992,0.56262,0.18221,2.23568,1.50141,1.13459,0.00672675,0.00672675,0.00672675
41,199.414,1.99945,1.22211,1.07675,0.581,0.72817,0.62425,0.22008,2.28093,1.38686,1.1498,0.00657963,0.00657963,0.00657963
42,204.821,2.05769,1.20995,1.12248,0.5427,0.67659,0.58615,0.20897,2.28343,1.50181,1.14514,0.00643101,0.00643101,0.00643101
43,209.385,1.92018,1.16584,1.03025,0.63379,0.60913,0.61714,0.22751,2.33304,1.28807,1.15659,0.00628101,0.00628101,0.00628101
44,214.518,2.03798,1.15699,1.05882,0.68897,0.77386,0.71488,0.22598,2.33491,1.26662,1.1562,0.00612981,0.00612981,0.00612981
45,219.695,2.12058,1.12283,1.06738,0.69901,0.67063,0.62495,0.20919,2.39123,1.28357,1.16672,0.00597754,0.00597754,0.00597754
46,224.471,2.03878,1.1776,1.07307,0.69677,0.6602,0.6073,0.18537,2.46111,1.26558,1.1764,0.00582435,0.00582435,0.00582435
47,229.496,1.97653,1.18796,1.06279,0.64853,0.73016,0.65187,0.22477,2.34668,1.28095,1.1753,0.0056704,0.0056704,0.0056704
48,234.264,1.79679,1.10895,1.00068,0.6338,0.72024,0.68322,0.22946,2.248,1.29298,1.15183,0.00551584,0.00551584,0.00551584
49,238.972,1.93946,1.11258,1.06333,0.6864,0.73016,0.67647,0.2219,2.25011,1.29395,1.15196,0.00536081,0.00536081,0.00536081
50,243.752,2.0596,1.21122,1.05785,0.59801,0.76587,0.69487,0.24002,2.29435,1.32533,1.15478,0.00520548,0.00520548,0.00520548
51,248.882,1.93395,1.16261,0.99547,0.65195,0.78175,0.67193,0.23469,2.22288,1.23676,1.11166,0.00505,0.00505,0.00505
52,253.888,2.01198,1.11759,1.05911,0.64082,0.76067,0.65229,0.22849,2.27011,1.23268,1.12416,0.00489452,0.00489452,0.00489452
53,258.493,1.88256,1.05913,1.01575,0.65386,0.7996,0.68356,0.22831,2.22077,1.19937,1.11766,0.00473919,0.00473919,0.00473919
54,263.145,1.91752,1.16615,1.00995,0.60392,0.75198,0.61601,0.1945,2.32647,1.23377,1.14966,0.00458416,0.00458416,0.00458416
55,267.838,1.92464,1.06892,1.03577,0.62087,0.71429,0.63511,0.21147,2.24757,1.20363,1.14906,0.0044296,0.0044296,0.0044296
56,272.766,1.88577,1.13873,1.04156,0.58854,0.71048,0.61316,0.212,2.2491,1.29757,1.136,0.00427565,0.00427565,0.00427565
